,GENDAI HYAKKA INC. CATALOGUE【2019 vol.2 / AUTUMN & WINTER】（掲載商品）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,※A列に○マークがついたアイテムは新商品／◆マークがついたアイテムは価格改定がある商品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,品番,品名,色・タイプ,旧本体価格,本体価格,原産国,JANコード,ページ,サイズ,容量,素材,L／C,耐荷重,備考,納期,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A045,good day cafe 耐熱ﾊﾟｽﾀｼﾞｬｰ 2.15L,,,"¥2,200",CHINA,4516344079146,13,Φ100×H320,2150ml,耐熱ｶﾞﾗｽ･ﾊﾞﾝﾌﾞｰ,1/16,,食洗機/可･電子ﾚﾝｼﾞ/可,,,,,,,,,,,,,,,,,,,
,A046,good day cafe 耐熱ｶﾞﾗｽｼﾞｬｰ 1.25L,,,"¥1,800",CHINA,4516344079153,13,Φ100×H190,1250ml,耐熱ｶﾞﾗｽ･ﾊﾞﾝﾌﾞｰ,1/12,,食洗機/可･電子ﾚﾝｼﾞ/可,,,,,,,,,,,,,,,,,,,
,A047,good day cafe 耐熱ｶﾞﾗｽｼﾞｬｰ 0.75L,,,"¥1,500",CHINA,4516344079160,13,Φ100×H130,750ml,耐熱ｶﾞﾗｽ･ﾊﾞﾝﾌﾞｰ,1/24,,食洗機/可･電子ﾚﾝｼﾞ/可,,,,,,,,,,,,,,,,,,,
,A048,good day cafe 耐熱ｶﾞﾗｽｼﾞｬｰ 0.63L,,,"¥1,400",CHINA,4516344079177,13,Φ100×H105,630ml,耐熱ｶﾞﾗｽ･ﾊﾞﾝﾌﾞｰ,1/24,,食洗機/可･電子ﾚﾝｼﾞ/可,,,,,,,,,,,,,,,,,,,
,A049,good day cafe 耐熱ｶﾞﾗｽｼﾞｬｰ 0.3L,,,"¥1,000",CHINA,4516344079184,13,Φ100×H80,300ml,耐熱ｶﾞﾗｽ･ﾊﾞﾝﾌﾞｰ,1/48,,食洗機/可･電子ﾚﾝｼﾞ/可,,,,,,,,,,,,,,,,,,,
,A050,good day cafe 耐熱ｶﾞﾗｽｼﾞｬｰ 0.25L,,,¥900,CHINA,4516344079191,13,Φ100×H70,250ml,耐熱ｶﾞﾗｽ･ﾊﾞﾝﾌﾞｰ,1/48,,食洗機/可･電子ﾚﾝｼﾞ/可,,,,,,,,,,,,,,,,,,,
,A051,good day cafe 耐熱ｶﾞﾗｽｼﾞｬｰ 0.2L,,,¥800,CHINA,4516344079207,13,Φ100×H60,200ml,耐熱ｶﾞﾗｽ･ﾊﾞﾝﾌﾞｰ,1/48,,食洗機/可･電子ﾚﾝｼﾞ/可,,,,,,,,,,,,,,,,,,,
,A080BR,SHIPPING BOX ｽﾀﾝﾀﾞｰﾄﾞ (L),BROWN,,"¥2,400",CHINA,4516344079658,13,W270×D210×H145,,ｳｯﾄﾞ(ﾊﾟｲﾝ),1/8,,,,,,,,,,,,,,,,,,,,,
,A080NT,SHIPPING BOX ｽﾀﾝﾀﾞｰﾄﾞ (L),NATURAL,,"¥2,400",CHINA,4516344079689,13,W270×D210×H145,,ｳｯﾄﾞ(ﾊﾟｲﾝ),1/8,,,,,,,,,,,,,,,,,,,,,
,A081BR,SHIPPING BOX ｽﾀﾝﾀﾞｰﾄﾞ (S),BROWN,,"¥1,800",CHINA,4516344079696,13,W210×D135×H145,,ｳｯﾄﾞ(ﾊﾟｲﾝ),1/16,,,,,,,,,,,,,,,,,,,,,
,A081NT,SHIPPING BOX ｽﾀﾝﾀﾞｰﾄﾞ (S),NATURAL,,"¥1,800",CHINA,4516344079702,13,W210×D135×H145,,ｳｯﾄﾞ(ﾊﾟｲﾝ),1/16,,,,,,,,,,,,,,,,,,,,,
,A082BR,SHIPPING BOX ﾂｰﾙ,BROWN,,"¥1,300",CHINA,4516344079719,13,W135×D165×H115,,ｳｯﾄﾞ(ﾊﾟｲﾝ),1/20,,,,,,,,,,,,,,,,,,,,,
,A082NT,SHIPPING BOX ﾂｰﾙ,NATURAL,,"¥1,300",CHINA,4516344079726,13,W135×D165×H115,,ｳｯﾄﾞ(ﾊﾟｲﾝ),1/20,,,,,,,,,,,,,,,,,,,,,
,A083BR,SHIPPING BOX ｽﾘﾑ,BROWN,,"¥1,300",CHINA,4516344079740,13,W270×D90×H90,,ｳｯﾄﾞ(ﾊﾟｲﾝ),1/20,,,,,,,,,,,,,,,,,,,,,
,A083NT,SHIPPING BOX ｽﾘﾑ,NATURAL,,"¥1,300",CHINA,4516344079757,13,W270×D90×H90,,ｳｯﾄﾞ(ﾊﾟｲﾝ),1/20,,,,,,,,,,,,,,,,,,,,,
,A095BL,PANTRY BASKET(L),BLUE,,"¥2,500",CHINA,4516344086335,27,W360×D260×H200,,ｽﾁｰﾙ･PVC,1/6,8kg,,,,,,,,,,,,,,,,,,,,
,A096BL,PANTRY BASKET(S),BLUE,,"¥1,500",CHINA,4516344086342,27,W260×D190×H140,,ｽﾁｰﾙ･PVC,1/6,4kg,,,,,,,,,,,,,,,,,,,,
,A097BL,PANTRY BASKET ﾌﾗｯﾄ,BLUE,,"¥2,000",CHINA,4516344086359,27,W360×D260×H100,,ｽﾁｰﾙ･PVC,1/6,8kg,,,,,,,,,,,,,,,,,,,,
,A098BL,PANTRY BASKET ｼｪﾙﾌ(L),BLUE,,"¥2,800",CHINA,4516344086366,27,W360×D260×H200,,ｽﾁｰﾙ･PVC,1/6,8kg,,,,,,,,,,,,,,,,,,,,
